role,conversation,cefr
tutor,"Hmm! That is true. But here we are talking about a different language and a different grammar.
",C2
student,"Yes! Exactly :)
",C2
tutor,"Well, in English if you put the comma after then you would be emphasizing that you were not afraid anymore...
",C2
student,"I see! Thanks for this insight! I'll keep it in mind next time I am writing on my own
",C2
tutor,"Yes, of course :) So now you have a better understanding why we would never put the comma after 'then', right?
",C2
student,"I think so... but how about afterwards then, should one follow with commas or not?
",C2
tutor,"Great question! You are correct. We do use commas after ""afterwards"". The reason is that there's an expression in English that has the same meaning as ""poi però"" i.e., ""Well, OK... But then...""
",C2
student,"I see! Thanks for this insight :)
",C2
tutor,"You are welcome :)
",C2
student,"I wanted to write... but then I stopped, fearing that this is the American spelling Does it make sense?
",C2
tutor,"Yes, indeed! After you wrote about what you understood while reading the sentence I was wondering wether I would put the comma after 'then' or after 'stopped'... Would both options be correct?
",C2
student,"I see! Thanks for this insight! I'll keep it in mind next time I am writing on my own :)
",C2
tutor,"Yes, of course :) So now you have a better understanding why we would never put the comma after ""then"", right?
",C2
student,"Great question! You are correct. We do use commas after ""afterwards"". The reason is that there's an expression in English that has the same meaning as ""poi però"" i.e., ""Well, OK... But then...""
",C2
tutor,"Thanks for this insight :) I was afraid to go to the market because of the risk of infection, but then, I stopped fearing, put my face mask on and went
",C2
student,"Exactly :)
",C2
tutor,"I'm thinking of an example I was afraid to go to the market because of the risk of infection, but then, I stopped fearing, put my face mask on and went",C2
student,Yes! Exactly :),C2
tutor,"Well, in English if you put the comma after then you would be emphasizing that you were not afraid anymore...",C2
student,I see! Thanks for this insight! I'll keep it in mind next time I am writing on my own :),C2
