role,conversation,cefr
tutor,"Thanks <STUDENT> - yes, good example and you can say a relief FOR...it's common to say: it was relief to me. Also the phrase is quite common: it came as a relief to me which is maybe less familiar to you (again, with 'familiar' you could say 'for' but 'to' is more normal
",B2
student,"OK... I have a lot of things to study today!
",B2
tutor,"We can stop there if you like! Give me  a second...(or continue with example if you prefer!)
",B2
student,"Ah, of course it's OK! His story relieve me.
",B2
tutor,"Thanks <STUDENT> - yes, good example and you can say a relief FOR...it's common to say: it was relief to me. Also the phrase is quite common: it came as a relief to me which is maybe less familiar to you (again, with 'familiar' you could say 'for' but 'to' is more normal
",B2
student,"OK... I have a lot of things to study today!
",B2
tutor,"We can stop there if you like! Give me  a second...(or continue with example if you prefer!)
",B2
student,"Ah, of course it's OK! His story relieve me.
",B2
tutor,"Thanks <STUDENT> - yes, good example and you can say a relief FOR...it's common to say: it was relief to me. Also the phrase is quite common: it came as a relief to me which is maybe less familiar to you (again, with 'familiar' you could say 'for' but 'to' is more normal
",B2
student,"OK... I have a lot of things to study today!
",B2
tutor,"We can stop there if you like! Give me  a second...(or continue with example if you prefer!)
",B2
student,"Ah, of course it's OK! His story relieve me.
",B2
tutor,"Thanks <STUDENT> - yes, good example and you can say a relief FOR...it's common to say: it was relief to me. Also the phrase is quite common: it came as a relief to me which is maybe less familiar to you (again, with 'familiar' you could say 'for' but 'to' is more normal
",B2
student,"OK... I have a lot of things to study today!
",B2
tutor,"We can stop there if you like! Give me  a second...(or continue with example if you prefer!)
",B2
student,"Ah, of course it's OK! His story relieve me.
",B2
tutor,"Thanks <STUDENT> - yes, good example and you can say a relief FOR...it's common to say: it was relief to me. Also the phrase is quite common: it came as a relief to me which is maybe less familiar to you (again, with 'familiar' you could say 'for' but 'to' is more normal
",B2
student,"OK... I have a lot of things to study today!
",B2
tutor,We can stop there if you like! Give me  a second...(or continue with example if you prefer!),B2
student,"Ah, of course it's OK! His story relieve me.",B2
